sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
17v70nSnz1mgOq8C4J1vm4	Anjos,Calema	Frágil	PTES12204901	51	classic portuguese pop,portuguese pop	0.0159	0.53	0.0	0.0952	173.758	0.758	0.809
69g0c784NPvnjGNyUEU1EX	GIULIA BE	2 PALABRAS	BX5NN2200001	53	funk carioca,pop nacional	0.0597	0.622	0.0	0.197	175.738	0.323	0.613
0QBzMgT7NIeoCYy3sJCof1	Camila Cabello,Ed Sheeran	Bam Bam (feat. Ed Sheeran)	USSM12200047	90	dance pop,pop,post-teen pop,uk pop	0.182	0.756	0.0	0.0401	94.996	0.956	0.697
0NRP5OIrTcgGvttJlSLO0n	Anitta,MC Cabelinho	Até o céu	BRWMB1901542	58	funk carioca,funk pop,pagode baiano,pop nacional	0.391	0.628	0.0	0.0613	81.967	0.691	0.874
3NDtWqLY4JvlUWPpB63HP6	Bianca Barros	Inevitável	PTNO12100073	38	portuguese pop	0.564	0.526	0.0	0.185	169.864	0.405	0.56
4t5pVNdDElJeRWXMRH1KgE	Elisa	Este Meu Jeito	PT6HP2100008	21	musica madeirense	0.871	0.864	0.0	0.0885	130.006	0.713	0.366
1058fW9H3fZA6QjYCdOBad	Camila Cabello	Don't Go Yet	USSM12104771	79	dance pop,pop,post-teen pop,uk pop	0.0492	0.666	0.0	0.103	110.108	0.61	0.796
2GThBgzZoZfz0lx1JjBwfe	New West	Those Eyes	TCAEE1990215	77	toronto indie	0.727	0.597	3.86e-05	0.0281	119.948	0.243	0.351
27NovPIUIRrOZoCHxABJwK	Lil Nas X,Jack Harlow	INDUSTRY BABY (feat. Jack Harlow)	USSM12104539	88	lgbtq+ hip hop,pop	0.0203	0.736	0.0	0.0615	149.995	0.894	0.704
5AhnPqydkYbZAp4NkyJ7ED	PEDRO SAMPAIO,Luísa Sonza	ATENÇÃO	BRWMB2100205	64	funk carioca	0.252	0.738	5.96e-06	0.071	134.813	0.747	0.901
58HvfVOeJY7lUuCqF0m3ly	Elley Duhé	MIDDLE OF THE NIGHT	USRC11903813	92	alt z,pop	0.0228	0.41	0.0	0.0467	185.727	0.0899	0.611
0NZRDSh1rxUHBQR0zaN6Oz	Anselmo Ralph	Fim do Mundo	PTBM12000057	47	kizomba,musica angolana,portuguese pop,semba	0.161	0.493	0.0	0.0388	171.977	0.351	0.59
1zLjeZ1wN0zljDS104ZK9c	Rita Rocha	Mais Ou Menos Isto	PTNO12100078	52		0.551	0.757	0.00214	0.03	124.013	0.463	0.549
2xRyucSeonJTOAK8EBKFuC	GIULIA BE	LOKKO	BRWMB2100354	59	funk carioca,pop nacional	0.113	0.617	0.0	0.0697	159.869	0.28	0.832
2eAvDnpXP5W0cVtiI0PUxV	Ruth B.	Dandelions	USSM11703468	90	alt z,canadian contemporary r&b,canadian pop,pop	0.0157	0.609	0.0	0.0259	116.959	0.454	0.692
3PmHcc8DftE7F0DYbbt6pA	Gabi Martins,Marcynho Sensação	Recaidinha	BC7JC2200001	58	sertanejo pop	0.4	0.698	0.0	0.0405	169.974	0.969	0.98
76rScYHXSIi72hJi92tna7	Biel,Tays Reis,Vitinho Imperador	Esqueceu Porra Nenhuma	BXGR32100006	52		0.281	0.651	0.0	0.0338	153.95	0.963	0.821
53RxHysDJ0cjugMcPymwja	Luan Santana	ABALO EMOCIONAL - Ao Vivo	BR27R2200001	82	arrocha,sertanejo,sertanejo pop,sertanejo universitario	0.306	0.441	0.0	0.112	185.936	0.726	0.915
6xGruZOHLs39ZbVccQTuPZ	Joji	Glimpse of Us	USWB12201789	99	viral pop	0.891	0.44	4.78e-06	0.0531	169.914	0.268	0.317
2T3jgoAMbBXiMMD8pSc6QL	Amy Macdonald	This Is The Life	GBUM70607840	74	scottish singer-songwriter	0.259	0.628	0.0	0.0323	95.083	0.853	0.882
0lQaP3ttoUjMprcvRu3yeI	Isak Danielson	Always	SE5T51800201	68	australian pop,pop,swedish singer-songwriter,uk pop	0.356	0.691	0.0	0.0472	112.966	0.55	0.452
3CIyK1V4JEJkg02E4EJnDl	Imagine Dragons,JID,Arcane,League of Legends	Enemy (with JID) - from the series Arcane League of Legends	USUM72119916	78	modern rock,rock	0.237	0.728	0.0	0.266	77.011	0.555	0.783
5vUnjhBzRJJIAOJPde6zDx	Jnr Choi,Sam Tompkins	TO THE MOON	QZNWW2131527	80		0.0451	0.745	0.00758	0.346	144.047	0.386	0.65
7gVzhRCrLRUBEGdS7zNTp0	Zé Felipe	Malvada	BRTLW2100037	80	arrocha,arrochadeira	0.159	0.894	0.000153	0.0471	134.947	0.888	0.859
